trip_id,stop_id,arrival_time,departure_time,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,continuous_pickup,continuous_drop_off,timepoint
930f97e0-03a6-4f41-adf4-1b61bb2f7974,SAC,15:50:00,15:50:00,1,,0,0,0.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,CO_E,15:52:00,15:52:00,2,,0,0,748.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,CR_R,15:53:00,15:53:00,3,,0,0,1145.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,STC_R,15:57:00,15:57:00,4,,0,0,1882.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,VM,15:58:00,15:58:00,5,,0,0,2445.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,VF_R,16:00:00,16:00:00,6,,0,0,3145.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,MVTC,16:05:00,16:05:00,7,,0,0,3616.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,CVC_R,16:07:00,16:07:00,8,,0,0,4428.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,CECR_R,16:08:00,16:08:00,9,,0,0,4755.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,GMS_R,16:10:00,16:10:00,10,,0,0,5247.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,CM_R,16:12:00,16:12:00,11,,0,0,6416.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,CG,16:14:00,16:14:00,12,,0,0,7208.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,ECH,16:15:00,16:15:00,13,,0,0,7784.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,GE,16:16:00,16:16:00,14,,0,0,8044.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,GR_R,16:19:00,16:19:00,15,,0,0,9104.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,ECRS_R,16:21:00,16:21:00,16,,0,0,10293.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,SPK_R,16:25:00,16:25:00,17,,0,0,10958.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,WD_R,16:26:00,16:26:00,18,,0,0,11837.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,WS_R,16:27:00,16:27:00,19,,0,0,12543.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,WM_R,16:28:00,16:28:00,20,,0,0,13111.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,ME_R,16:32:00,16:32:00,21,,0,0,13843.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,MM_R,16:33:00,16:33:00,22,,0,0,14488.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,SM2,16:34:00,16:34:00,23,,0,0,15336.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,SPR,16:36:00,16:36:00,24,,0,0,16567.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,SM1_R,16:41:01,16:41:01,25,,0,0,17578.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,MSP_R,16:41:02,16:41:02,26,,0,0,17872.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,CMS_R,16:45:00,16:45:00,27,,0,0,18444.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,RMDL_R,16:46:01,16:46:01,28,,0,0,18994.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,RMON_R,16:46:02,16:46:02,29,,0,0,19539.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,RC_R,16:47:00,16:47:00,30,,0,0,19886.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,CMC_R,16:48:01,16:48:01,31,,0,0,20225.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,CR,16:48:02,16:48:02,32,,0,0,20527.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,CO_W,16:49:00,16:49:00,33,,0,0,20983.0,1,1,1
930f97e0-03a6-4f41-adf4-1b61bb2f7974,SAC,16:50:00,16:50:00,34,,1,0,21516.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,SAC,14:40:00,14:40:00,1,,0,0,0.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,CO_E,14:42:00,14:42:00,2,,0,0,748.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,CR_R,14:43:00,14:43:00,3,,0,0,1145.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,STC_R,14:47:00,14:47:00,4,,0,0,1882.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,VM,14:48:00,14:48:00,5,,0,0,2445.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,VF_R,14:50:00,14:50:00,6,,0,0,3145.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,MVTC,14:55:00,14:55:00,7,,0,0,3616.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,CVC_R,14:57:00,14:57:00,8,,0,0,4428.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,CECR_R,14:58:00,14:58:00,9,,0,0,4755.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,GMS_R,15:00:00,15:00:00,10,,0,0,5247.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,CM_R,15:02:00,15:02:00,11,,0,0,6416.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,CG,15:04:00,15:04:00,12,,0,0,7208.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,ECH,15:05:00,15:05:00,13,,0,0,7784.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,GE,15:06:00,15:06:00,14,,0,0,8044.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,GR_R,15:09:00,15:09:00,15,,0,0,9104.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,ECRS_R,15:11:00,15:11:00,16,,0,0,10293.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,SPK_R,15:15:00,15:15:00,17,,0,0,10958.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,WD_R,15:16:00,15:16:00,18,,0,0,11837.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,WS_R,15:17:00,15:17:00,19,,0,0,12543.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,WM_R,15:18:00,15:18:00,20,,0,0,13111.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,ME_R,15:22:00,15:22:00,21,,0,0,13843.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,MM_R,15:23:00,15:23:00,22,,0,0,14488.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,SM2,15:24:00,15:24:00,23,,0,0,15336.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,SPR,15:26:00,15:26:00,24,,0,0,16567.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,SM1_R,15:31:01,15:31:01,25,,0,0,17578.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,MSP_R,15:31:02,15:31:02,26,,0,0,17872.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,CMS_R,15:35:00,15:35:00,27,,0,0,18444.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,RMDL_R,15:36:01,15:36:01,28,,0,0,18994.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,RMON_R,15:36:02,15:36:02,29,,0,0,19539.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,RC_R,15:37:00,15:37:00,30,,0,0,19886.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,CMC_R,15:38:01,15:38:01,31,,0,0,20225.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,CR,15:38:02,15:38:02,32,,0,0,20527.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,CO_W,15:39:00,15:39:00,33,,0,0,20983.0,1,1,1
d4d97859-bc99-455b-86ac-cae5831e4e8a,SAC,15:40:00,15:40:00,34,,1,0,21516.0,1,1,1
eefcceec-8637-46f7-89e3-cf4d4afe9d47,SAC,13:30:00,13:30:00,1,,0,0,0.0,1,1,1
